English	Pin Yin	Chinese	Audio	SpoodFed order
There is a bumper crop of rice this year.	Jīnnián de dàogǔ fēngshōu le.	今年的稻谷丰收了。	[sound:tmpe6zskb.mp3]	7612
He relies on government relief funds to live.	Tā yīkào zhèngfǔ de jiùjìjīn guò rìzi.	他依靠政府的救济金过日子。	[sound:tmpbk233z.mp3]	7613
The policeman raised his shield.	Jǐngchá jǔqǐle dùnpái.	警察举起了盾牌。	[sound:tmp1w06or.mp3]	7614
Drugs brought about his downfall.	Dúpǐn ràng tā chénlún.	毒品让他沉沦。	[sound:tmpi3mkkv.mp3]	7615
America gave foreign aid to lots of nations.	Měiguó gěi xǔduō guójiā wàiyuán.	美国给许多国家外援。	[sound:tmp51_rvc.mp3]	7616
Foreign aid is without national boundaries.	Wàiyuán shì méiyǒu guójiè de.	外援是没有国界的。	[sound:tmpoimjsi.mp3]	7617
She is pretty.	Tā zhǎng de hěn qiàolì.	她长得很俏丽。	[sound:tmpbb1egt.mp3]	7618
The farmers are toiling in the fields.	Nóngmín zài tián lǐ xīnkǔ de gēngyún.	农民在田里辛苦地耕耘。	[sound:tmpdgjxlq.mp3]	7619
This fruit is shaped like an orange and tastes like a pineapple. <br /> The fruit is similar to an orange in shape and to a pineapple in taste.	zhèzhǒng shuǐguǒ xíngzhuàng xiàng chéngzi , wèidao xiàng bōluó .	这种水果形状像橙子，味道像菠萝。	[sound:334505.mp3]	7620
These grains are plump.	Zhèxiē gǔwù kēlì bǎomǎn.	这些谷物颗粒饱满。	[sound:tmpdiezpg.mp3]	7621
The bird was covered with white feathers.	niǎo ér shēn shàngpū mǎn le báisè de yǔmáo .	鸟儿身上铺满了白色的羽毛。	[sound:334657.mp3]	7622
The peacock's feathers are very pretty.	Kǒngquè de yǔmáo hěn piàoliang.	孔雀的羽毛很漂亮。	[sound:tmpr2ea5j.mp3]	7623
I hope that mankind will stay free from from plagues.	Xīwàng rénlèi yuǎnlí wēnyì.	希望人类远离瘟疫。	[sound:tmpckxqgl.mp3]	7624
He got everyone's praise.	Tā huòdéle dàjiā de zànyù.	他获得了大家的赞誉。	[sound:tmpzeflg1.mp3]	7625
The fine day added to the pleasure of the picnic.	qínglǎng de tiānqì zēngjiā le yěyíng de lèqù .	晴朗的天气增加了野营的乐趣。	[sound:333911.mp3]	7626
The fire alarm rang.	huǒ jǐng jǐngbào xiǎng le .	火警警报响了。	[sound:334258.mp3]	7627
The baby has fluffy hair.	Yīng'ér de tóufa hěn péngsōng.	婴儿的头发很蓬松。	[sound:tmpgzuzf4.mp3]	7628
Two detectives followed the suspect.	liǎng ge zhēntàn gēnzhe xiányírén .	两个侦探跟着嫌疑人。	[sound:334839.mp3]	7629
How dare you treat me this way?	Nǐ qǐ gǎn zhème duì wǒ?	你岂敢这么对我？	[sound:tmpkbzan9.mp3]	7630
Walnuts are a type of nut.	Hétao shì yī zhǒng jiānguǒ.	核桃是一种坚果。	[sound:tmpmmmx9p.mp3]	7631
This line from an ancient poem is very thought-provoking.	Zhè jù gǔshī hěn yǒu yùnwèi.	这句古诗很有韵味。	[sound:tmp_m0ttj.mp3]	7632
The curve of her lower torso is very beautiful.	Tā túnbù de xiàntiáo hěn piàoliang.	她臀部的线条很漂亮。	[sound:tmpfju0dc.mp3]	7633
I like playing ping-pong.	Wǒ xǐhuan dǎ pīngpāng.	我喜欢打乒乓。	[sound:tmpxfljbh.mp3]	7634
In Mainland China, there are lots of fake goods.	Zài dàlù, fǎngmào pǐn tèbié duō.	在大陆，仿冒品特别多。	[sound:tmp5yxrz_.mp3]	7635
He counterfeited this piece of porcelain.	Tā fǎngmào le zhèjiàn cíqì.	他仿冒了这件瓷器。	[sound:tmphosj1p.mp3]	7636
Everyone is waving flags.	Dàjiā huīwǔzhe qízhì.	大家挥舞着旗帜。	[sound:tmp4tr9sm.mp3]	7637
Raising children is the responsibility of parents.	Fǔyǎng zǐnǚ shì fùmǔ de zhízé.	抚养子女是父母的职责。	[sound:tmpwsgoia.mp3]	7638
I will wait for your reply.	Wǒ děng nín de dáfù.	我等您的答覆。	[sound:tmprpxjkw.mp3]	7639
The chairman answered the questions of the reporters.	Zhǔxí dáfù le jìzhě men de tíwèn.	主席答覆了记者们的提问。	[sound:tmpedqur0.mp3]	7640
The farmers are harvesting the sugar cane.	Nóngmín zhèngzài shōugē gānzhe.	农民正在收割甘蔗。	[sound:tmpiykrtr.mp3]	7641
There's a traffic jam.	Jiāotōng zǔsè le.	交通阻塞了。	[sound:tmptmga10.mp3]	7642
The police shot the outlaw to death.	Jǐngchá jībìle dǎitú.	警察击毙了歹徒。	[sound:tmpxu2hju.mp3]	7643
She is always cheerful and pleasant to people.	Tā zǒngshì duì rén héyán-yuèsè.	她总是对人和颜悦色。	[sound:tmp9rpk8l.mp3]	7644
A big fish was caught (in a net).	Yī tiáo dà yú bèi lāo shànglái le.	一条大鱼被捞上来了。	[sound:tmp8iiesz.mp3]	7645
I've been blackmailed by a crook.	Wǒ bèi huàirén lèsuǒ qiáncái.	我被坏人勒索钱财。	[sound:tmpokh4ne.mp3]	7646
Nobody is in the dark room.	Yōu'àn de fángjiān lǐ kōng wú yī rén.	幽暗的房间里空无一人。	[sound:tmpktgoea.mp3]	7647
Here's the reward for your service.	Zhè shì nǐ de chóuláo.	这是你的酬劳。	[sound:tmpbaolpr.mp3]	7648
This work doesn't pay.	zhè gè gōngzuò méiyǒu chóuláo .	这个工作没有酬劳。	[sound:334556.mp3]	7649
The two small rivers converge here.	Liǎng tiáo xiǎo hé zài zhèli huìhé.	两条小河在这里汇合。	[sound:tmphaivyg.mp3]	7650
Many people go to the park to see the cherry blossoms.	Hěn duō rén qù gōngyuán shǎng yīnghuā.	很多人去公园赏樱花。	[sound:tmpzd4e2a.mp3]	7651
Due to the flood, the farmers' income decreased.	Yīnwèi hóngzāi, nóngmín de shōurù jiǎnshǎo le.	因为洪灾，农民的收入减少了。	[sound:tmpfpe8mz.mp3]	7652
His acts of courage brought him glory.	tā yīngyǒng de xíngwéi dài gěi le tā guāngróng .	他英勇的行为带给了他光荣。	[sound:333468.mp3]	7653
He met a friend whom he hasn't seen for a long time.	Tā yùjiànle jiǔwéi de péngyou.	他遇见了久违的朋友。	[sound:tmpcxslpp.mp3]	7654
There are people who illegally copy software.	Yǒu rén dàokǎo ruǎnjiàn.	有人盗拷软件。	[sound:tmptepo2b.mp3]	7655
We shouldn't illegally copy study materials.	Wǒmen bù yīnggāi dàokǎo xuéxí zīliào.	我们不应该盗拷学习资料。	[sound:tmpq63wkb.mp3]	7656
The reservoir has stored as much water as it can hold.	Shuǐkù lǐ túnmǎnle shuǐ.	水库里屯满了水。	[sound:tmpdq0yj6.mp3]	7657
She put her head on her arms and fell asleep.	Tā zhěnzhe shǒubì shuìzháo le.	她枕着手臂睡着了。	[sound:tmp349rix.mp3]	7658
The ocean is surging with huge waves.	Dàhǎi lǐ xiānqǐle jùlàng.	大海里掀起了巨浪。	[sound:tmpauj14y.mp3]	7659
He is very broadminded.	Tā wéirén hěn huòdá.	他为人很豁达。	[sound:tmpivbzvu.mp3]	7660
The rhythm of this violin piece is beautiful.	Xiǎotíqín de yùnlǜ shífēn dòngtīng.	小提琴的韵律十分动听。	[sound:tmp_6s407.mp3]	7661
Orange juice, please. <br /> I'd like orange juice.	wǒ xiǎng yào chéngzhī .	我想要橙汁。	[sound:334502.mp3]	7662
To improve the environment, we encourage tree planting.	Wèi le gǎishàn huánjìng, wǒmen tíchàng zhíshù.	为了改善环境,我们提倡植树。	[sound:tmpadqpmy.mp3]	7663
My roommate especially likes to eat chicken stewed with shitaake mushrooms.	Wǒde shìyǒu tèbié xǐhuan chī xiǎojī dùnxiāng gū.	我的室友特别喜欢吃小鸡炖香菇。	[sound:R076-03.mp3]	7664
In Olympic competitions, a gold medal is for first place, a silver medal for second, and a bronze medal is for third place.	zài àoyùnhuì de jìngsài zhōng , jīnpái dàibiǎo dì yī míng , yínpái dàibiǎo dì èr míng , tóng pái shì dì sān míng .	在奥运会的竞赛中，金牌代表第一名，银牌代表第二名，铜牌是第三名。	[sound:334995.mp3]	7665
I got bored with his long talk.	wǒ yànfán le tā de chángpiāndàlún .	我厌烦了他的长篇大论。	[sound:334771.mp3]	7666
Bush followed Reagan as president.	bùshí jì lǐgēn zhīhòu dāng shàng le zǒngtǒng .	布什继里根之后当上了总统。	[sound:332569.mp3]	7667
She's pouring a cup of tea for her friend.	Tā gěi péngyou zhēnchá.	她给朋友斟茶。	[sound:tmpbxchos.mp3]	7668
This deer is docile.	Zhè zhī lù hěn wēnshùn.	这只鹿很温顺。	[sound:tmpnz8ah3.mp3]	7669
The archer killed the deer.	shèshǒu dǎsǐ le lù .	射手打死了鹿。	[sound:334456.mp3]	7670
Her eyes gushed with tears.	tā de yǎn lǐ yǒngchū le lèishuǐ .	她的眼里涌出了泪水。	[sound:332846.mp3]	7671
I love almonds	Wǒ ài chī xìngrén.	我爱吃杏仁。	[sound:tmpmqhhqh.mp3]	7672
Without studying, one will end up stupid and ignorant.	Bù xuéxí jiù huì yúmèi-wúzhī.	不学习就会愚昧无知。	[sound:tmpuqnsbv.mp3]	7673
He's worried about his debts.	Tā wèi zhàiwù fāchóu.	他为债务发愁。	[sound:tmp5eprq_.mp3]	7674
The destructive power of a tsunami is enormous.	Hǎixiào de pòhuàilì hěn dà.	海啸的破坏力很大。	[sound:tmpsjqdr3.mp3]	7675
According to the weather forecast, it will be partially cloudy today.	Gēnjù tiānqì yùbào xiǎnshì, jīntiān qíngjiànduōyún.	根据天气预报显示，今天晴间多云。	[sound:tmpy7uaqj.mp3]	7676
This bag is made of excellent quality leather.	Zhè gè píbāo shǐyòngle shànghǎo de pígé.	这个皮包使用了上好的皮革。	[sound:tmpr0abs9.mp3]	7677
The race horses run past us in a flash.	Sàimǎ shàshí pǎo guòqu le.	赛马霎时跑过去了。	[sound:tmpoesekl.mp3]	7678
The farmer is feeding the cows.	Nóngfū zài gěi niú wèishí.	农夫在给牛喂食。	[sound:tmp_pkfpc.mp3]	7679
The history of the Great Wall dates back to the Qin dynasty.	Chángchéng de lìshǐ kěyǐ zhuīsù dào Qíncháo.	长城的历史可以追溯到秦朝。	[sound:tmpebazzd.mp3]	7680
What time does this train reach Yokohama?	huǒchē shénme shíhou dào héngbīn ?	火车什么时候到横滨？	[sound:335130.mp3]	7681
The engagement of Mr Rogers and Miss Smith was announced yesterday.	luójiésī xiānsheng hé shǐmìsī xiǎojie zuótiān xuānbù dìnghūn .	罗杰斯先生和史密斯小姐昨天宣布订婚。	[sound:332610.mp3]	7682
The balloon rose into the air.	Qìqiú téngkōng fēiqǐ.	气球腾空飞起。	[sound:tmpldjy2q.mp3]	7683
She is the descendant of Vietnamese immigrants.	Tā shì Yuènán yímín de hòuyì.	她是越南移民的后裔。	[sound:tmpootxwd.mp3]	7684
The death penalty had been done away with in many states in the USA.	sǐxíng zài Měiguó de hěn duō zhōu dōu bèi fèichú le .	死刑在美国的很多州都被废除了。	[sound:333229.mp3]	7685
My plan is visiting old castles in Scotland.	wǒ de jìhuà shì cānguān sūgélán de gǔbǎo .	我的计划是参观苏格兰的古堡。	[sound:332643.mp3]	7686
That secret was revealed.	Nàge mìmì bèi bàolù le.	那个秘密被曝露了。	[sound:tmpzhzjri.mp3]	7687
The car has rusted.	Zhè liàng chē shēngxiù le.	这辆车生锈了。	[sound:tmpe0bvrq.mp3]	7688
A look of hostility came across the child's face.	Háizi lùchu chóushì de biǎoqíng.	孩子露出仇视的表情。	[sound:tmps6ca4h.mp3]	7689
It becomes warmer day after day.	tiān rìjiàn huínuǎn .	天日渐回暖。	[sound:333106.mp3]	7690
Dusk is approaching.	Tiānsè bījìn huánghūn.	天色逼近黄昏。	[sound:tmphyfztk.mp3]	7691
This is salt and pepper.	Zhè shì yán hé hújiāo.	这是盐和胡椒。	[sound:tmppsvutr.mp3]	7692
He's planting seedlings.	Tā zài péizhí shùmiáo.	他在培植树苗。	[sound:tmp9cactt.mp3]	7693
The dam can be used to generate electricity.	Shuǐbà kěyǐ yònglái fādiàn.	水坝可以用来发电。	[sound:tmpp6rvrj.mp3]	7694
The dam is very very strong.	Shuǐbà fēicháng jiāngù.	水坝非常坚固。	[sound:tmptmupvs.mp3]	7695
This fortress is solid.	Zhè zuò bǎolěi hěn jiāngù.	这座堡垒很坚固。	[sound:tmp1cwvgs.mp3]	7696
Every dog has his day.	fánrén jiē yǒu déyì shí .	凡人皆有得意时。	[sound:333200.mp3]	7697
Acupuncture is Chinese medicine.	Zhēnjiǔ shì Zhōngguó de yīxué.	针灸是中国的医学。	[sound:tmptyv2ar.mp3]	7698
The doctor is treating my illness with acupuncture.	Yīshēng zhēnjiǔ gěi wǒ zhìbìng.	医生针灸给我治病。	[sound:tmpydydxo.mp3]	7699
Acupuncture is one type of Chinese medicine.	Zhēnjiǔ shì Zhōngguó de yīshù zhī yī.	针灸是中国的医术之一。	[sound:tmpbnwf3d.mp3]	7700
He got lung cancer.	Tā dé le fèi'ái.	他得了肺癌。	[sound:tmpws5spr.mp3]	7701
Lao Wang got lung cancer.	Lǎo Wáng dé le fèi'ái.	老王得了肺癌。	[sound:tmpoz4f28.mp3]	7702
Bacteria multiply very quickly.	Xìjūn fányǎn de sùdù hěn kuài.	细菌繁衍的速度很快。	[sound:tmpmdtpae.mp3]	7703
He slandered me.	Tā wūmiè wǒ.	他诬蔑我。	[sound:tmp0ly5aq.mp3]	7704
They went on outings when they had free time.	Kòngxián de shíhou tāmen qù jiāoyóu.	空闲的时候他们去郊游。	[sound:tmpjcv0uy.mp3]	7705
We could have gone on a picnic if not for the rain.	Xià yǔ le, yàoburán kěyǐ qù jiāoyóu.	下雨了，要不然可以去郊游。	[sound:tmpem0bi8.mp3]	7706
The light in the room is very dim.	Fáng lǐ de dēngguāng hěn hūn'àn.	房里的灯光很昏暗。	[sound:tmps3mmqa.mp3]	7707
Sadly, the child died.	Zhè gè xiǎohái bùxìng yāozhé le.	这个小孩不幸夭折了。	[sound:tmpjyhvhp.mp3]	7708
The oak tree is very high.	Xiàngshù hěn gāodà.	橡树很高大。	[sound:tmpkcd5hj.mp3]	7709
The car's engine has been damaged.	Qìchē de yǐnqíng sǔnhuài le.	汽车的引擎损坏了。	[sound:tmpbuef0o.mp3]	7710
Australia is smaller than South America.	àozhōu bǐ Nánměizhōu xiǎo .	澳洲比南美洲小。	[sound:333155.mp3]	7711
The fish smells fishy.	Yú yǒu xīngwèi.	鱼有腥味。	[sound:tmpgluf1b.mp3]	7712
To do rock-climbing, you need tenacity.	Pānyán xūyào yìlì.	攀岩需要毅力。	[sound:tmpgz0616.mp3]	7713
She's mastered the secrets of rock-climbing.	Tā zhǎngwòle pānyán de qiàomén.	她掌握了攀岩的窍门。	[sound:tmpfsnaxh.mp3]	7714
There's such a big difference in their height.	Tāmen de shēngāo xiāngchà xuánshū.	他们的身高相差悬殊。	[sound:tmpeekwsk.mp3]	7715
He pulled out the plug.	Tā bádiàole chātóu.	他拔掉了插头。	[sound:tmpcshbrf.mp3]	7716
This project has gone beyond the deadline.	Zhèxiàng gōngchéng yùqī le.	这项工程逾期了。	[sound:tmpr9m5tg.mp3]	7717
Interest is charged as a penalty for overdue bills.	Zhàngdān yúqī bù fù yào fá lìxī de.	帐单逾期不付要罚利息的。	[sound:tmpf4vsjo.mp3]	7718
This path is very bumpy.	Zhè tiáo xiǎolù āotū bùpíng.	这条小路凹凸不平。	[sound:tmpz0mozl.mp3]	7719
There's a lot of wine stored here.	Zhèli chǔcángzhe hěn duō jiǔ.	这里储藏着很多酒。	[sound:tmptumj7m.mp3]	7720
He's a lumberjack.	Tā shì gè fámùgōng.	他是个伐木工。	[sound:tmpcjdbi1.mp3]	7721
Birds perch on trees.	Niǎo qīxī zài shù shàng.	鸟栖息在树上。	[sound:tmpjze8vd.mp3]	7722
Primitive man fed on wild animals.	Yuánshǐrén yǐ yěshòu wéi shí.	原始人以野兽为食。	[sound:tmpedqbyw.mp3]	7723
His work attitude is slack.	Tā de gōngzuò tàidu hěn sōngxiè.	他的工作态度很松懈。	[sound:tmprjnrrx.mp3]	7724
She's sitting under the awning.	Tā zuò zài liángpéng xiàmiàn.	她坐在凉棚下面。	[sound:tmpbdvprn.mp3]	7725
That is a secluded place.	Nà shì gè pìjìnɡ de dìfang.	那是个僻静的地方。	[sound:G026-04.mp3]	7726
He's quite well-known in this area.	Tā zài zhè gè dìqū míngshēng xiǎnhè.	他在这个地区名声显赫。	[sound:tmpltl9pl.mp3]	7727
You shouldn't quarrel every day over trivial matters.	Jīmáosuànpí de xiǎoshì búyào tiāntiān chǎo.	鸡毛蒜皮的小事不要天天吵。	[sound:R105-07.mp3]	7728
Loaning someone money is not a trivial matter.	Jiègěi biérén qián bú shì yī jiàn jīmáosuànpí de xiǎoshì.	借给别人钱不是一件鸡毛蒜皮的小事。	[sound:R109-06.mp3]	7729
The son smugly coerces his mother.	Érzi déyì de yāoxié māma.	儿子得意地要胁妈妈。	[sound:tmpoxkw4n.mp3]	7730
Dinosaurs are extinct.	Kǒnglóng yǐjing mièjué le.	恐龙已经灭绝了。	[sound:tmpkaehhi.mp3]	7731
The telephone bill has been sent over.	Diànhuà zhàngdān jìlái le.	电话账单寄来了。	[sound:tmpjkdoec.mp3]	7732
After the meal, the waiter brought the bill.	Chī wán le fàn, fúwù yuán ná lái le zhàngdān.	吃完了饭，服务员拿来了账单。	[sound:tmptvtexi.mp3]	7733
The lord held absolute power over his subjects.	lǐngzhǔ duì tā de chén mínyǒu juéduìquán lì .	领主对他的臣民有绝对权力。	[sound:334772.mp3]	7734
Living in Jingmen is very boring.	Zhùzài Jīngmén hěn wúliáo.	住在荆门很无聊。	[sound:R041-05.mp3]	7735
Columbus discovered America in 1492.	Gēlúnbù yú yī sì jiǔ èr nián fāxiànle Měizhōu.	哥伦布于1492年发现了美洲。	[sound:tmpna6n5x.mp3]	7736
The doctor cleaned out his earwax for him.	Yīshēng bāng tā qīngchú ěrshǐ.	医生帮他清除耳屎。	[sound:tmpy1tjac.mp3]	7737
The boat is going very fast.	Xiǎotǐng kāi de hěn kuài.	小艇开得很快。	[sound:tmpqal2dv.mp3]	7738
Abortion is a sensitive topic.	Duòtāi huàtí shì yīge mǐngǎn de huàtí.	堕胎话题是一个敏感的话题。	[sound:tmpsgmwvr.mp3]	7739
Are you for or against abortions?	nǐ zhīchí háishì fǎnduì duòtāi ?	你支持还是反对堕胎？	[sound:332898.mp3]	7740
My boss assigned the hard task to me.	wǒ lǎobǎn bǎ jiānjù de rènwu zhīpài gěi le wǒ .	我老板把艰巨的任务指派给了我。	[sound:334615.mp3]	7741
Frogs feed on insects.	Qīngwā yǐ bǔzhuō kūnchóng wéi shí.	青蛙以捕捉昆虫为食。	[sound:tmppsnaoq.mp3]	7742
The coral in the sea is very beautiful.	Hǎi lǐ de shānhú hěn měi.	海里的珊瑚很美。	[sound:tmpgalmxy.mp3]	7743
There is a shovel in the yard.	Yuànzi lǐ yǒu yī bǎ chǎnzi.	院子里有一把铲子。	[sound:tmphwflku.mp3]	7744
He's a master of divination.	Tā shì gè zhānbǔ dàshī.	他是个占卜大师。	[sound:tmpdtiphn.mp3]	7745
It is important for me to read The Outlaws of the Marsh.	Duìyú wǒ lái shuō, dú Shuǐhǔzhuàn hěn zhòngyào.<div>(dui = duiyu = zhendui (pinpoints))</div>	对于我来说，读《水浒传》很重要。	[sound:R077-01.mp3]	7746
Ginger is a spice.	Jiāng shì yī zhǒng zuòliao.	姜是一种作料。	[sound:tmpnt1eqn.mp3]	7747
He's a butcher.	Tā shì yī gè túfū.	他是一个屠夫。	[sound:tmpvcmlfp.mp3]	7748
This is granulated white sugar.	Zhè shì báishātáng.	这是白砂糖。	[sound:tmpbq38di.mp3]	7749
Soy sauce is a flavoring.	Jiàngyóu shì yī zhǒng tiáowèiliào.	酱油是一种调味料。	[sound:tmpksxx2d.mp3]	7750
Carrefour's Ham offcuts are not expensive at all, but are nevertheless delicious.	jiā lè fú de huǒtuǐ shèng liào yīdiǎn dōu bù guì, ránér què hěn hǎochī .	家乐福的火腿剩料一点都不贵，然而却很好吃。	[sound:334566.mp3]	7751
Dong Fangzhuo is not famous in America.	Dǒng Fāngzhuó zài Měiguó bù chūmíng.	董方卓在美国不出名。	[sound:R039-06.mp3]	7752
She braked and stopped the car.	Tā bǎ chē shāzhù le.	她把车刹住了。	[sound:tmp84mono.mp3]	7753
Guangzhou is the capital city of Guangdong province.	Guǎngzhōu shì Guǎngdōng Shěng de shǒufǔ.	广州是广东省的首府。	[sound:tmpsvz2cu.mp3]	7754
Guangzhou is under the jurisdiction of Guangdong province.	Guǎngzhōu Shì guī Guǎngdōng Shěng guǎnxiá.	广州市归广东省管辖。	[sound:tmp8hgtry.mp3]	7755
My father is an honest and upright soldier.	Bàba shì yī gè zhōnghòu zhèngzhí de jūnrén.	爸爸是一个忠厚正直的军人。	[sound:tmptnk4gx.mp3]	7756
He's willing to be a volunteer worker.	Tā gānyuàn zuò yìgōng.	他甘愿做义工。	[sound:tmpthvfbj.mp3]	7757
I don't want any connections with you.	Wǒ bù xiǎng hé nǐ yǒu rènhé guāgé.	我不想和你有任何瓜葛。	[sound:tmptoei0n.mp3]	7758
He drank 1.5 kg of liquor. Everyone was really surprised.	Tā hē le sān jīn liè jiǔ, zhēn ràng rén chījīng.	他喝了三斤烈酒，真让人吃惊。	[sound:tmpacium3.mp3]	7759
The government will put out a new policy soon.	Zhèngfǔ jíjiāng tuīchū xīn zhèngcè.	政府即将推出新政策。	[sound:tmpzk14uj.mp3]	7760
She paid the money she owed.	Tā jiǎofùle qiànkuǎn.	她缴付了欠款。	[sound:tmp3ytzrg.mp3]	7761
Nutrition must pass through the small intestine to be absorbed.	Yíngyǎng zhǔyào tōng'guò xiǎocháng lái xīshōu.	营养主要通过小肠来吸收。	[sound:tmpt7j9eq.mp3]	7762
He feels very frustrated.	Tā gǎnjué hěn qìněi.	他感觉很气馁。	[sound:tmpvpwu5v.mp3]	7763
This plant has withered and died.	Zhè zhū zhíwù kūsǐ le.	这株植物枯死了。	[sound:tmpmgqkui.mp3]	7764
Thermometers often go below zero.	wēndùjì wǎngwǎng dīyú língdù .	温度计往往低于零度。	[sound:332485.mp3]	7765
He discovered that this is a counterfeit bill.	Tā fāxiàn zhè shì zhāng wěichāo.	他发现这是张伪钞。	[sound:tmp6mmq1v.mp3]	7766
This is a counterfeit bill.	Zhè shì jiǎchāo.	这是假钞。	[sound:tmpeufuk1.mp3]	7767
That bank note is a fake one.	Nà zhāng shì jiǎ chāo.	那张是假钞。	[sound:tmpdba2ij.mp3]	7768
He's pleading with his boss for mercy.	Tā zài xiàng shàngsi qiúráo.	他在向上司求饶。	[sound:tmpduoade.mp3]	7769
Ice melts into water.	Bīng rónghuà chéng shuǐ.	冰溶化成水。	[sound:tmpsfltj3.mp3]	7770
The bandit robbed a bank.	Fěitú dǎjiéle yī jiā yínháng.	匪徒打劫了一家银行。	[sound:tmpzp95qf.mp3]	7771
The cancer cells have spread.	Áixìbāo kuòsàn le.	癌细胞扩散了。	[sound:tmpvxr98f.mp3]	7772
The cancer cells in his body have spread.	Tā shēntǐ zhōng de áixìbāo kuòsàn le.	他身体中的癌细胞扩散了。	[sound:tmp18t29w.mp3]	7773
A naval ship is anchored at port.	Gǎngkǒu tíngbózhe yī sōu jiàntǐng.	港口停泊着一艘舰艇。	[sound:tmptm1p24.mp3]	7774
They wash and starch clothes in the laundry.	Xǐyīdiàn kěyǐ jiāngxǐ yīfu.	洗衣店可以浆洗衣服。	[sound:tmpspbgcg.mp3]	7775
This news is very exciting.	Zhè gè xiāoxi tài lìngrén zhènfèn le.	这个消息太令人振奋了。	[sound:tmpyqaujx.mp3]	7776
The houses in this village are laid out neatly.	Zhè gè cūnzhuāng wūshè-yǎnrán.	这个村庄屋舍俨然。	[sound:tmppoiipz.mp3]	7777
He's venting his anger at his girlfriend.	Tā zài duì nǚpéngyou fāxiè nùhuǒ.	他在对女朋友发泄怒火。	[sound:tmpabodat.mp3]	7778
The criminals are savage.	Zuìfàn hěn chāngkuáng.	罪犯很猖狂。	[sound:tmphvltls.mp3]	7779
The guide led us on a tour of the lighthouse.	Xiàngdǎo dàilǐng wǒmen cānguān dēngtǎ.	向导带领我们参观灯塔。	[sound:tmpitadqj.mp3]	7780
Be careful not to let any eggshell drop into the flour.	Xiǎoxīn bǎ dànké diào dào miànfěn lǐ.	小心把蛋壳掉到面粉里。	[sound:tmpq4pc04.mp3]	7781
The news is really terrifying.	Zhè tiáo xīnwén zhēn ràng rén jīnghài.	这条新闻真让人惊骇。	[sound:tmpo__w4c.mp3]	7782
He's disassembling the watch.	Tā zài chāixiè shǒubiǎo.	他在拆卸手表。	[sound:tmphnjfbf.mp3]	7783
They're serving in the army.	Tāmen zài fú bīngyì.	他们在服兵役。	[sound:tmpds7a9b.mp3]	7784
They are going to serve in the army.	Tāmen yào qù fú bīngyì.	他们要去服兵役。	[sound:tmp_fs9rt.mp3]	7785
Where did you serve in the army?	Nǐ zài nǎli fú bīngyì?	你在哪里服兵役？	[sound:tmpi7fno5.mp3]	7786
In South Korea, every male must serve in the army.	Zài Hán'guó, měige nánzi bìxū fú bīngyì.	在韩国，每个男子必须服兵役。	[sound:tmpt_jnmk.mp3]	7787
He is picking his teeth.	Tā zài tīyá.	他在剔牙。	[sound:tmpgxsp8u.mp3]	7788
Did you remember to turn off the iron?	Nǐ jìde guān diànyùndǒu ma?	你记得关电熨斗吗？	[sound:R091-02.mp3]	7789
He's good at fighting with his bare hands.	Tā shàncháng túshǒu gédòu.	他擅长徒手格斗。	[sound:tmpynoujh.mp3]	7790
A track has been left on the snow-covered ground.	Xuědì shàng liúxiale yī dào chēzhé.	雪地上留下了一道车辙。	[sound:tmpol9umg.mp3]	7791
I need to buy a new razor.	Wǒ xūyào mǎi xīnde tìxūdāo.	我需要买新的剃须刀。	[sound:R054-06.mp3]	7792
The throne is passed down from father to son.	Wángwèi shì shìxí de.	王位是世袭的。	[sound:tmptkksqc.mp3]	7793
The trees in this place are verdant and thick.	Zhèli de shùmù yùyùcōngcōng.	这里的树木郁郁葱葱。	[sound:tmpe3ljbr.mp3]	7794
This field is one hectare.	Zhè tiándì yǒu yī gōngqǐng.	这田地有一公顷。	[sound:tmph75xc6.mp3]	7795
Misfortune has struck.	Èyùn jiànglín le.	厄运降临了。	[sound:tmpp7khkv.mp3]	7796
I advise you never to live beyond your income.	wǒ jiànyì nǐ yǒngyuǎn bùyào rùbùfūchū .	我建议你永远不要入不敷出。	[sound:334848.mp3]	7797
They argued till they were red in the face.	Tāmen zhēng de miànhóng-ěrchì.	他们争得面红耳赤。	[sound:tmpoh_ttp.mp3]	7798
The river water is very dirty.	Zhè tiáo hé shuǐ hěn wūzhuó.	这条河水很污浊。	[sound:tmpwykfpp.mp3]	7799
His advice is always very sensible.	tā de zhōnggào zǒngshì hěn míngzhì .	他的忠告总是很明智。	[sound:332936.mp3]	7800
She follows her doctor's advice.	Tā zūncóng yīshēng de zhōnggào.	她遵从医生的忠告。	[sound:tmpnxxc4a.mp3]	7801
Together, the friends paid their respects to their deceased friends.	Péngyoumen yīqǐ lái bàijì gùrén.	朋友们一起来拜祭故人。	[sound:tmplhn9zu.mp3]	7802
There is a stretch of swampland in the forest.	Shùlín lǐ yǒu yī piàn zhǎozédì.	树林里有一片沼泽地。	[sound:tmpziazg2.mp3]	7803
He's examining the silicon chip.	Tā zài jiǎnchá guīpiàn.	他在检查硅片。	[sound:tmpf5ot1j.mp3]	7804
The public generously donated money to help the people in the disaster area.	Qúnzhòng kāngkǎi de wèi zāiqū juānkuǎn.	群众慷慨地为灾区捐款。	[sound:tmpgse2s9.mp3]	7805
